五龙镇各村距离矩阵.xlsx 数据内容:
==================================================
数据形状: (27, 28)
列名: ['起点', '五龙镇', '丰峪村', '上庄村', '泽下村', '文峪村', '河头村', '罗圈村', '城峪村', '岭后村', '荷花村', '渔村', '合脉掌村', '碾上村', '长坡村', '南沃村', '西蒋村', '岭南村', '桑峪村', '马兰村', '中石阵村', '栗家洼村', '牛家岗村', '陈家岗村', '薛家岗村', '石官村', '阳和村', '七峪村']

完整数据:
      起点        五龙镇        丰峪村        上庄村        泽下村        文峪村        河头村        罗圈村        城峪村        岭后村        荷花村         渔村       合脉掌村        碾上村        长坡村       南沃村        西蒋村        岭南村        桑峪村        马兰村       中石阵村       栗家洼村       牛家岗村       陈家岗村       薛家岗村        石官村        阳和村        七峪村
0    五龙镇   0.000000   2.079521   2.150594   3.622292   5.387225   5.362349   5.198620   3.869694   4.011346   5.178370   5.957228   5.548510   4.394128   5.364759  4.907105   3.419398   4.656922   6.467724   9.940792   8.717640   8.536026   8.329021   7.834740   8.226544   9.382174  10.940241  12.641544
1    丰峪村   2.079521   0.000000   1.830515   3.707765   4.304668   3.790115   3.182536   2.165147   3.605926   5.525373   6.803889   6.964554   6.271158   7.420845  6.911841   5.031172   5.297229   6.481189  10.169916   9.564740   9.862046   9.994250   9.778165  10.297538  11.454186  12.989181  14.646957
2    上庄村   2.150594   1.830515   0.000000   1.890371   3.240445   3.388409   3.817788   3.947664   5.288852   6.957641   7.974679   7.696581   6.453266   7.126797  6.004770   3.695224   3.479256   4.725957   8.383531   7.747674   8.177074   8.524196   8.656169   9.567799  10.988662  12.652472  14.461456
3    泽下村   3.622292   3.707765   1.890371   0.000000   2.725314   3.659166   4.907645   5.765735   7.161050   8.719431   9.579209   9.020238   7.412841   7.610804  5.884258   3.257943   1.778304   2.880863   6.499959   5.970022   6.717101   7.443192   8.089354   9.460623  11.132721  12.892923  14.824240
4    文峪村   5.387225   4.304668   3.240445   2.725314   0.000000   1.463703   3.413291   5.663961   7.839615   9.830002  11.049167  10.921169   9.665025  10.151933  8.590015   5.976996   4.097836   3.477882   6.927057   7.556836   8.908712   9.959553  10.792912  12.177086  13.809902  15.548561  17.443195
5    河头村   5.362349   3.790115   3.388409   3.659166   1.463703   0.000000   2.014128   4.645387   7.054829   9.189496  10.573907  10.718273   9.754803  10.515201  9.258876   6.742812   5.278395   4.932292   8.378386   8.973285  10.196857  11.089964  11.691614  12.854052  14.351829  16.033035  17.849864
6    罗圈村   5.198620   3.182536   3.817788   4.907645   3.413291   2.014128   0.000000   3.062387   5.663924   7.914879   9.479281   9.983460   9.451140  10.563055  9.775234   7.508497   6.672720   6.779148  10.332363  10.672684  11.624434  12.239504  12.473728  13.287797  14.564521  16.138811  17.823145
7    城峪村   3.869694   2.165147   3.947664   5.765735   5.663961   4.645387   3.062387   0.000000   2.623130   4.895034   6.538414   7.329867   7.313778   8.820200  8.763195   7.125228   7.426378   8.398361  12.105013  11.693824  12.024787  12.094676  11.703671  11.952270  12.875311  14.268093  15.755857
8    岭后村   4.011346   3.605926   5.288852   7.161050   7.839615   7.054829   5.663924   2.623130   0.000000   2.275927   3.975806   5.087596   5.715782   7.543806  8.239136   7.372209   8.533292  10.014712  13.660126  12.699142  12.520459  12.128227  11.201278  10.905255  11.449291  12.627642  13.900538
9    荷花村   5.178370   5.525373   6.957641   8.719431   9.830002   9.189496   7.914879   4.895034   2.275927   0.000000   1.798653   3.431033   4.891304   6.882564  8.262399   8.121181   9.827897  11.597851  15.118376  13.764688  13.190366  12.428933  11.068948  10.271927  10.414886  11.339038  12.365898
10    渔村   5.957228   6.803889   7.974679   9.579209  11.049167  10.573907   9.479281   6.538414   3.975806   1.798653   0.000000   2.069134   4.141161   6.078977  7.926868   8.365082  10.435179  12.406292  15.761014  14.089135  13.201569  12.162957  10.499944   9.340042   9.180735   9.912713  10.776927
11  合脉掌村   5.548510   6.964554   7.696581   9.020238  10.921169  10.718273   9.983460   7.329867   5.087596   3.431033   2.069134   0.000000   2.333374   4.125231  6.232027   7.173912   9.546946  11.695691  14.798383  12.823578  11.669905  10.433921   8.600693   7.298541   7.119825   7.926820   8.944937
12   碾上村   4.394128   6.271158   6.453266   7.412841   9.665025   9.754803   9.451140   7.313778   5.715782   4.891304   4.141161   2.333374   0.000000   1.995065  3.898736   5.077693   7.624082   9.871323  12.742479  10.601600   9.351462   8.105950   6.358792   5.381841   5.733537   6.978676   8.452850
13   长坡村   5.364759   7.420845   7.126797   7.610804  10.151933  10.515201  10.563055   8.820200   7.543806   6.882564   6.078977   4.125231   1.995065   0.000000  2.567289   4.663987   7.349086   9.655050  12.068722   9.596596   7.998053   6.476483   4.482860   3.403905   4.060311   5.576042   7.334730
14   南沃村   4.907105   6.911841   6.004770   5.884258   8.590015   9.258876   9.775234   8.763195   8.239136   8.262399   7.926868   6.232027   3.898736   2.567289  0.000000   2.636579   5.182501   7.446209   9.566984   7.030741   5.497350   4.236114   2.977895   3.598544   5.274705   7.067232   9.063351
15   西蒋村   3.419398   5.031172   3.695224   3.257943   5.976996   6.742812   7.508497   7.125228   7.372209   8.121181   8.365082   7.173912   5.077693   4.663987  2.636579   0.000000   2.685125   4.991123   7.665475   5.724064   5.151944   4.969920   4.982829   6.202680   7.906757   9.688708  11.660128
16   岭南村   4.656922   5.297229   3.479256   1.778304   4.097836   5.278395   6.672720   7.426378   8.533292   9.827897  10.435179   9.546946   7.624082   7.349086  5.182501   2.685125   0.000000   2.306005   5.326725   4.268723   4.958420   5.861734   6.867742   8.578253  10.423935  12.232969  14.243969
17   桑峪村   6.467724   6.481189   4.725957   2.880863   3.477882   4.932292   6.779148   8.398361  10.014712  11.597851  12.406292  11.695691   9.871323   9.655050  7.446209   4.991123   2.306005   0.000000   3.706851   4.144916   5.860117   7.354579   8.820207  10.733107  12.639081  14.456877  16.487212
18   马兰村   9.940792  10.169916   8.383531   6.499959   6.927057   8.378386  10.332363  12.105013  13.660126  15.118376  15.761014  14.798383  12.742479  12.068722  9.566984   7.665475   5.326725   3.706851   0.000000   3.090769   5.571925   7.677304   9.867129  12.199462  14.250239  16.047863  18.125641
19  中石阵村   8.717640   9.564740   7.747674   5.970022   7.556836   8.973285  10.672684  11.693824  12.699142  13.764688  14.089135  12.823578  10.601600   9.596596  7.030741   5.724064   4.268723   4.144916   3.090769   0.000000   2.481876   4.596687   6.867819   9.269815  11.334993  13.106162  15.181137
20  栗家洼村   8.536026   9.862046   8.177074   6.717101   8.908712  10.196857  11.624434  12.024787  12.520459  13.190366  13.201569  11.669905   9.351462   7.998053  5.497350   5.151944   4.958420   5.860117   5.571925   2.481876   0.000000   2.164895   4.585670   7.058294   9.117232  10.838870  12.899322
21  牛家岗村   8.329021   9.994250   8.524196   7.443192   9.959553  11.089964  12.239504  12.094676  12.128227  12.428933  12.162957  10.433921   8.105950   6.476483  4.236114   4.969920   5.861734   7.354579   7.677304   4.596687   2.164895   0.000000   2.505260   4.990240   7.025897   8.712280  10.762060
22  陈家岗村   7.834740   9.778165   8.656169   8.089354  10.792912  11.691614  12.473728  11.703671  11.201278  11.068948  10.499944   8.600693   6.358792   4.482860  2.977895   4.982829   6.867742   8.820207   9.867129   6.867819   4.585670   2.505260   0.000000   2.486329   4.534138   6.258474   8.326078
23  薛家岗村   8.226544  10.297538   9.567799   9.460623  12.177086  12.854052  13.287797  11.952270  10.905255  10.271927   9.340042   7.298541   5.381841   3.403905  3.598544   6.202680   8.578253  10.733107  12.199462   9.269815   7.058294   4.990240   2.486329   0.000000   2.066620   3.848404   5.926186
24   石官村   9.382174  11.454186  10.988662  11.132721  13.809902  14.351829  14.564521  12.875311  11.449291  10.414886   9.180735   7.119825   5.733537   4.060311  5.274705   7.906757  10.423935  12.639081  14.250239  11.334993   9.117232   7.025897   4.534138   2.066620   0.000000   1.822238   3.887076
25   阳和村  10.940241  12.989181  12.652472  12.892923  15.548561  16.033035  16.138811  14.268093  12.627642  11.339038   9.912713   7.926820   6.978676   5.576042  7.067232   9.688708  12.232969  14.456877  16.047863  13.106162  10.838870   8.712280   6.258474   3.848404   1.822238   0.000000   2.077849
26   七峪村  12.641544  14.646957  14.461456  14.824240  17.443195  17.849864  17.823145  15.755857  13.900538  12.365898  10.776927   8.944937   8.452850   7.334730  9.063351  11.660128  14.243969  16.487212  18.125641  15.181137  12.899322  10.762060   8.326078   5.926186   3.887076   2.077849   0.000000
