物流车配送距离.xlsx 数据内容:
==================================================
数据形状: (27, 28)
列名: ['Unnamed: 0', '五龙镇', '丰峪村', '上庄村', '泽下村', '文峪村', '大河头村', '罗圈村', '城峪村', '岭后村', '荷花村', '渔村', '合脉掌村', '碾上村', '长坡村', '南沃村', '西蒋村', '岭南村', '桑峪村', '马兰村', '中石阵村', '栗家洼村', '牛家岗村', '陈家岗村', '薛家岗村', '石官村', '阳和村', '七峪村']

完整数据:
   Unnamed: 0   五龙镇   丰峪村   上庄村   泽下村   文峪村  大河头村   罗圈村   城峪村   岭后村   荷花村    渔村  合脉掌村   碾上村   长坡村   南沃村   西蒋村   岭南村   桑峪村   马兰村  中石阵村  栗家洼村   牛家岗村  陈家岗村  薛家岗村  石官村   阳和村  七峪村
0         五龙镇   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
1         丰峪村  10.0   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
2         上庄村  37.0   9.7   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
3         泽下村   4.7  14.5   9.3   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
4         文峪村  11.7  21.6  15.0   9.7   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
5        大河头村  53.1  75.7  54.5  51.1  46.0   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
6         罗圈村   3.7  12.9   1.0   7.3  14.3  46.0   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
7         城峪村   7.3  17.3  10.6   6.1  17.3  54.4  10.0   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
8         岭后村   4.9  14.0   6.3   9.5  15.2  54.9   5.3  12.2   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
9         荷花村   9.2  18.4   8.5  13.9  13.0  52.8   7.5  16.5   2.6   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
10         渔村   1.7  10.8   2.1   6.4  13.3  53.9   2.3   9.2   3.4   8.3   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
11       合脉掌村   6.3  16.4  10.5   6.5   3.1  54.8   9.4  12.5   5.4   2.1   5.9   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
12        碾上村  12.9  22.9  16.2  11.7  21.5  68.2  15.6   5.9  17.8  21.0  14.8  18.5   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
13        长坡村   6.7  16.7  10.0   4.7   5.1  46.6   9.4  12.3  11.5  14.6   8.5   8.5  17.9   0.0   NaN   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
14        南沃村   5.0  14.7   7.6   5.2  12.1  55.5   6.6  11.2   4.0   3.7   4.1   1.9  16.8   7.2   0.0   NaN   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
15        西蒋村   1.4  11.5   5.1   4.0  10.9  56.7   4.1   8.5   6.3   9.5   3.3   5.3  14.1   6.0   7.2   0.0   NaN   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
16        岭南村   2.9  12.1   3.9   7.6  14.5  52.4   2.8  10.2   2.6   5.3   1.5   7.3  15.8   9.6   3.9   4.3   0.0   NaN   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
17        桑峪村   9.7  19.7  13.0   8.4  19.6  64.9  12.3   2.6  14.5  17.7  11.5  15.2   7.8  14.7  13.5  10.8  12.5   0.0   NaN   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
18        马兰村  15.2  25.2  18.5  14.0  25.2  70.4  17.9   8.2  20.1  23.3  17.1  20.8   4.0  20.2  19.1  16.4  18.1  10.1   0.0   NaN   NaN    NaN   NaN   NaN  NaN   NaN  NaN
19       中石阵村   6.1  16.1   9.3   4.1   6.0  46.5   8.7  11.7  10.9  14.2   7.9   7.9  17.3   7.2   6.5   5.3   8.9  14.0  19.6   0.0   NaN    NaN   NaN   NaN  NaN   NaN  NaN
20       栗家洼村   3.4   8.4   1.3   8.0  15.0  49.7   2.3  10.7   7.4  10.6   4.4   9.7  16.3  10.0   8.3   4.8   5.4  13.0  18.6   9.4   0.0    NaN   NaN   NaN  NaN   NaN  NaN
21       牛家岗村   3.6  13.5   6.8   2.2   9.1  58.8   6.2   9.2   8.4  11.6   5.4   4.5  14.8   4.2   3.2   2.0   6.4  11.5  17.1   3.5   6.9   0.00   NaN   NaN  NaN   NaN  NaN
22       陈家岗村   2.7  12.7   5.9   2.6   9.5  50.0   5.4   8.3   7.6  10.8   4.6   4.4  14.0   4.2   3.0   1.7   5.6  10.7  16.2   3.9   6.0   1.40   0.0   NaN  NaN   NaN  NaN
23       薛家岗村   3.4  14.3   7.6   2.4   8.4  48.9   6.1   9.0   8.2  11.5   5.2   5.2  14.6   4.6   3.9   2.7   6.3  11.3  16.9   2.8   6.7   0.87   1.3   0.0  NaN   NaN  NaN
24        石官村   1.7  11.7   5.0   2.8  11.7  57.0   4.4   5.6   6.6   9.8   3.6   7.3  11.2   3.4   6.4   2.9   4.6   7.9  13.5   6.1   5.1   3.60   2.7   3.4  0.0   NaN  NaN
25        阳和村   1.9   8.5   3.2   6.6  13.5  56.3   3.8   9.2   5.9   9.2   2.9   8.2  14.8   8.5   6.6   3.4   4.0  11.6  17.1   7.9   1.9   5.40   4.6   5.2  3.6   0.0  NaN
26        七峪村  10.5  20.4  13.8   9.2  20.4  65.7  13.1   3.4  15.3  18.5  18.5  16.0   5.1  15.5  14.3  11.6  13.4   5.4   7.4  14.8  13.8  12.30  11.5  12.2  8.7  12.4  0.0
